index,label,n_failed,error_type,models_failed,song,artists,lyrics
6,0,4,FP,"regex,roberta,llama,bert",Thank Me Now,['Drake'],"Thank Me Now Lyrics You could thank me now  uh  go 'head Thank me later  yeah I know what I said But later doesn't always come so instead It's okay  you could thank me now Yeah Well  alright Here I go Uh  Mahalo from the hardest act to follow Lately I've been drinking like there's a message in a bottle Alohas to women with no ties to men That I know well  that way there are no lies You can thank me now for all the info I give to you niggas I'm on the brink of ""influential "" I'm here for you niggas I guess a hit doesn't add up to a career for you niggas I must have been hard to watch  what a year for you niggas It's December 31st and we in Miami just meditating You got your resolutions  we just got reservations Living out a dream it feels like I stayed up And we just want to party  Patron straight up Fuck that old shit  I'm on new things OVO Clique  Red Wing Boot Gang Yeah we want it all  half was never the agreement Who'd have thought the route we'd chosen Would ever end up this scenic?I can relate to kids going straight to the league When they recognize that you got what it takes to succeed And that's around the time That your idols become your rivals You make friends with Mike But got to A.I. him for your survival Damn  I swear sports and music are so synonymous Cause we want to be them  and they want to be us So on behalf of the demanded and the entertainment That you take for granted  y-you can thank me now And oh my goodness you're welcome  you're welcome At this point me is who I am trying to save myself from Rappers hit me up and I never know what to tell them'Cause they think that I can help them Get back to where they fell from But drink up  'cause everyone here is good tonight Except the niggas that I came with  they good for life Yeah  that's how you know it's going down In case another chance never comes around Y-You could thank me now   go 'head Thank me later  yeah I know what I said But later doesn't always come so instead It's okay  you could thank me now Uh  shallow nigga but deep enough to have gone swimming I think I'm spending all my time with the wrong women I think I'll have a chance at love and knowing me  I'll miss it'Cause me dedicating my time just isn't realistic Man  the good girls went silent on me They got a boyfriend  or left for college on me And all the bad ones I used to hit are friends now That make me wish I had a little less mileage on me But do I ever come up in discussion Over double pump lattes and low fat muffins?Do I? Or is missing what we had out of the question?I'm probably just the reason that you learned your lesson I got flows for the Marilyn Monroes Who was there before it all  I guess that's how it goes They hear about your cons  but focus on your pros And love you for who you are from the bottom of they soul But those same ones from your area will grow into women That are ready to get married at ""Hello""Because of what they allowed  where are they all now?I know they're somewhere watching So I'm trying to make them proud Searching for the meaning  you'll find it next to me They tell me I'm the hottest  guess we finally get to see I'm feeling like Nas  who am I to disagree?They say the doors will open up soon as you find the missing key That's probably why I'm in this bitch shining Jump up in the sky and put the stars into alignment I rep the ATF in case you need to be reminded And the bandwagon's full but you can try and run behind it–I'm sorry Poolside drinking  Margarita rounds Shout out to my city though I hardly be in town I'm the black sheep but Chris Farley wears the crown And I know life is just a game in which the cards are facing down I'm in a world where things are taken  never given How long they choose to love you will never be your decision And I'm aware that this could be the last time you listen So while I'm still here in this position You might also like Y-you could thank me now   go 'head Thank me later  yeah I know what I said But later doesn't always come so instead It's okay  you could thank me now It's a- okay 29Embed"
11,0,4,FP,"regex,roberta,llama,bert",The Glorious Five,['Logic'],"The Glorious Five Lyrics Yeah We gon' let this shit rock Hey That's the Cole hey from back in the day Hey  yeah Just a youngin' with a dream Tryna get this money  yeah  I'm tryin' get this cream Not a lot know what I mean  for this rap shit I'm a fiend Not one to talk about poppin' pills and sippin' lean Just a passion for pussy  I'm tryin' to get up in the spleen This is my mentality rappin' at nineteen Back in Maryland just tryin' to break out on the scene Buyin' fake chains at the mall so girls be like ""Ooh  he clean""Daydreams that my life is like a movie scene Sippin' liquor  puffin' green  so obscene Ride around the city with my homies in a gat We was lookin' for trouble  now where's it at?Paint the picture like Picasso  matter fact like Sam Spratt Even younger I was trippin' skippin' school writin' raps Never on the road but on the roll like them craps Check the facts Endless rhyme books in my backpack Like that  uh I guess I acted out from lack of a father figure Go figure  performin' at open mics wishin' I could go bigger I was never in it for the money like a gold digger Every time my daddy call me he be like  ""Ayo nigga  where the money at?""Yeah  that's what he'd say  ""Little boy  you know you know I saw you on a PJWhen you gon' fly me out  when you gon' smoke me out?""Always throw demands out  motherfuck a handout All I ever wanted was a daddy But that man priority was huggin' with a fatty But I'm glad he did 'cause it made me who I am Now I'm the man that I always wish he woulda been And never started smokin' crack; imagine just what could have been  damn Always felt like somethin' it was missin'Wish we could have played catch  had talks  and went fishin'But had no one there to listen Now it feel like my life mission is to be the best dad when the time come For my daughter and my son when the time come Teach 'em 'bout they heritage and where they come from Teach 'em 'bout they family history and then some I've been on the grind tryin' find my way People come and go but I'ma be the one to stay People tell me I should live my life they way All I know is that I'm gonna make it one day I've been on the grind tryin' find my way People come and go but I'ma be the one to stay People tell me I should live my life they way All I know is that I'm gonna make it one day Yeah  yeah Bobby  don't do it to 'em You're beautiful and you don't gotta prove it to 'em Come on  come on Bobby  you ain't shit though Why your personality be split though?One minute it's PLP  the next that shit be slit throats Devil and an angel on my shoulder  that's my conscious Greatest rapper alive but never actin' Pontius Keep yourself in check like a dollar amount You ain't better than nobody based on your dollar amount Yeah  you've grown accustomed to the lifestyle but you never bougie Nah  you never brand new  no it's never who's he See  I hate when I get recognized And while the fan is hypnotized I'm approached by random guys who feel the need to emphasize""I don't know who you are""I reply ""I'm a gentleman and a fuckin' rap star""Put your lighters in the sky if you got 'em This for anybody that feel like they at the bottom Nobody to tell 'em they special  you know I got 'em Nobody there to tell them they love them  well I got 'em Uh  no matter where you go you gotta persevere Ain't no fuckin' around  ain't no makin' a sound  no you just gotta murder the fear Yeah I've been thinkin' about it  been tryna get out of it Fuck what I'm thinkin'  it's time to break out of it Findin' myself in the thick and the debt of it Had a bit and I knew wanted to murder the son And I'm ready to get it  motherfuck a critic  I'm livin' my life and You might also like I've been on the grind tryin' find my way  People come and go but I'ma be the one to stay  People tell me I should live my life they way  All I know is that I'm gonna make it one day  I've been on the grind tryin' find my way  People come and go but I'ma be the one to stay  People tell me I should live my life they way  All I know is that I'm gonna make it one day  47Embed"
53,1,4,FN,"roberta,llama,qwen,bert",Killer,"['Don Diablo', {'label': 'spotify:artist:0mUIey7n1U90IScto35rX7'}]",Killer Lyrics So you want to be free To live your life The way you wanna be Will you give if we cry?Will we live or will we die?Solidary brother Is it still a part of you that wants to live?Solidary sister Is it still a part of you that wants to give?Solidary brother Is it still a part of you that wants to live?Solidary sister Is it still a part of you that wants to give?Solidary brother Is it still a part of you that wants to live?Solidary sister Is it still a part of you that wants to give?Tainted hearts heal with time Shoot that bow A weakened star took me there Solidary brother Is it still a part of you that wants to live?Solidary sister Is it still a part of you that wants to give?Solidary brother Is it still a part of you that wants to live?Solidary sister Is it still a part of you that wants to give?You might also like If we try To live your life The way you wanna live Embed
230,1,4,FN,"roberta,llama,qwen,bert",No One Believes Me,['Kid Cudi'],No One Believes Me Lyrics Have you ever felt Something evil Lurking around The moon is full The streets are empty Shadows cover the town You can't call it You can't shake the feeling Quiet do not make a sound But the wind seems to speak Something's here in the room with me I know that something is wrong here I can feel it but no one believes me I know that something is strange here I can sense it but no one believes me I feel like something is wrong here I can sense it but no one believes me I'm not crazy hell no I'm not loony I'm not insane Take a second I heard it I know it Whispers say my name Calling for me Where do I go Where should I run You might also like23Embed
411,0,4,FP,"regex,roberta,llama,bert",SITUATION,['The Kid LAROI'],SITUATION Lyrics Uh  oh  oh  oh Uh I told my mama that we good  no matter the situation Big crib in California  where I'm situated And everybody think it's cool because I'm rich and famous But they will never understand what my pain is I told my dawgs we gon' be good  no matter the situation I heard some people say I changed ever since I made it But they the same ones on my line when they need something from mine That's why they calls get declined  I don't need the fakin'I'm done with doin' favors  I'm done with doin' fake shit I'm done with fuckin' with these bitches  all they do is play me I'm done with dealing with the pain  I'm out here  getting faded Then retail therapy  I walk in and I buy the latest I know this why they hate me I know this why they mad  seventeen and in my bag Got it out the mud  they said I wouldn't  always knew I can I hear all the rumors  but I can't pay attention to that My foot on the gas  in this 'Rari  I might fuckin' crash I told my mama that we good  no matter the situation Big crib in California  where I'm situated And everybody think it's cool because I'm rich and famous But they will never understand what my pain is I told my dawgs we gon' be good  no matter the situation I heard some people say I changed ever since I made it But they the same ones on my line when they need something from mine That's why they calls get declined  I don't need the fakin'You might also like2Embed
573,0,4,FP,"regex,llama,qwen,bert",GJS,"['GIMS', {'label': 'spotify:artist:3IW7ScrzXmPvZhB27hmfgy'}, {'label': 'spotify:artist:2kXKa3aAFngGz2P4GjG5w2'}]","GJS Lyrics L'ovni au mic'  mec Mmh Ah  ah Mangekyou Sharingan Piou  piou  piou  piou Mathafack Ah  ah  ah  ah  ah  ah Grr  touh  touh  touh  touh  touh Ah À Marseille  c'est gratte-gratte  braquage  secteur  la plage  vol à l'étalage Khabat à patte  y a la BAC  y a le bec dans la poche  que ça claque Ou au bar  tout le monde veut le milli' dans l'appart'Bavure  BAC-BAC  transport  frappe  frappe  RS  4x4  génération Ong-Bak Poursuite  fausse plaque  ça braque la Fnac  fumette  p'tit pack  Corbières  Estaque Départ  paquetage  gros casse  partage  jobeur à l'étage  guetteur  postage Cadis  blocage  ça lève en rodage  la SNEP en otage  gros pilotage Blessé  dans la merde  vous m'avez laissé  truc de baisé  violent comme Messi ou comme un décès Appelle-moi ""Monsieur""  j'ai un message pour ces salopes  remet ça j'suis pressé Pas d'PGP  pas d'Giuseppe  que du DP  j'fais des TP hiver-été Au début  vous critiquiez  maintenant  mon son  vous le mettez Sur l'oiseau bleu  les haters disent que les ventes  ça veut rien dire Sur moi  ils tirent quand j'fais un tube où y a Auto Tune Ou j'fais de la thune  oui  de la thune  tellement qu'j'en fais  si j'veux  j'vais sur Neptune Ils mettent l'œil et des bâtons dans les jantes J'm'en bats les couilles  moi  du regard des gens J'ai tout niqué  poto  j'fais pas la légende J'suis gentil  ne me rendez pas méchant J'ai le teum-teum  sous la selle arrière  y a le ""fit-fit-fit""Les jaloux  ils ont le seum  seum  posé sous le sun Trop médiatisé  c'est jamais moi qui portera le deum  deum Let's go  c'est Marseille en direction de Paris-Centre Collaboration que je trouve très intéressante J'suis fidèle au poste quand il faut dealer dans le bloc Dealer de la jaune  sur le banc  dealer de la blanche Let's go  Marseille en direction de Paris-Centre Collaboration que je trouve très intéressante J'suis fidèle au poste quand il faut dealer dans le bloc Dealer de la jaune  sur le banc  dealer de la blanche You might also like Il est immortel L'épidémie nous a niqué les bénéfices  on fait du sale de père en fils Mais rien n'est fini car j'ai des montagnes à gravir Putain  ça va grave vite comme la famille Kravitz  pyramide en granite Il est où mon Grammy ? Que des couplets quali' ou du coupé-décalé  le Nord-Pas-de-Calais Déter' comme un Camer'  déter' comme un camé  plus rien à regarder  le cœur est dégradé Armes à feu de type A sé-po sur le crâne  'ghini  'ghini  Lambo'  ouais  ça sent l'cramé Ça nous regarde mal  putain  mais quel audace  trou dans la carapace  fourbe comme Barabbas Fourbe comme M'Bala M'Bala  Ouais naza na Bala-Bala Petit na nga mbala suka  tika n'o makambu wana Après minuit  je ne parle qu'en espèce  plus de vice que ces p'tites pestes Croule sous les poids de la presse  regarde-moi dans les yeux comme un lion que l'on dresse Ou p't-être qu'on évite tous les sujets qui fâchent  y'  le S  sur le C  sur le Mont  j'ai la Hâche G.I  Qu'on déteste ou qu'on aime  pour la suite  tout l'monde sait que le J c'est le SC'est Meuguiwarawino  baissez les stores   je l'ai fait pour l'oseille et pour l'histoire Balle dans le veau-cer si t'es trop fort   capuché  masqué  dans le drug-store En boîte  il envoie des bouteilles  pourtant le compte est débiteur Faut voir les filles qui défilent et les millionnaires ont du bide Les faux amis font la bise mais ce n'était pas le deal  et ça baraude dans la ville  est-ce que tu m'suis ?Let's go  c'est Marseille en direction de Paris-Centre Collaboration que je trouve très intéressante J'suis fidèle au poste quand il faut dealer dans le bloc Dealer de la jaune  sur le banc  dealer de la blanche Let's go  Marseille en direction de Paris-Centre Collaboration que je trouve très intéressante J'suis fidèle au poste quand il faut dealer dans le bloc Dealer de la jaune  sur le banc  dealer de la blanche Puta madre J'te gifle en face  j't'insulte au GSM  les étoiles dans la bulle du GSXEt j'passe les péages dans l'Diesel Plaque diplomatique  de l'ammoniaque  du crack  de la cocaïne  du plastique  des s'mi-automatiques  mathafack""Crr-crick"" posé sous le clique-claque Dictature comme un uniforme dans la garde-à-v'  comme un cruciforme dans le cadenas Chez les fiottes  moi  j'suis pas d'là  y a du sang mais y a pas d'larme1K dans l'4x4  plaquage au sol comme un All Black  comme un hall crade qui fait trente plaques avant midi J'donne un PGP à E.T  vol en business pour l'alibi Là  y a Meugui en haut des charts et y a le J dans le maquis  le matin  j'suis sur béquille Tu fais la catin pour des roupies  tout le gratin dans la villa  y a la re-pu  y a les outils Y a les gilets sous les hoodies  j'portais les courses pour oukhti Deux-cents barres en bling pour le shooting  on va manger que du Gucci Attends d'voir chanter les morts autour de ma tombe en empilant les corps inanimés  tiens à ma vie tant qu'maman m'attend Que du feu dans les veines et du flow dans les gènes Elle est jeune  elle attend le dégel mais la flamme vit dans le glaçon Dans les bas-fonds des bas-fonds où l'âge n'est pas la raison Les bases cachent criminels et fraudes dans l'arrondissement Dans les bas-fonds des bas-fonds  le cash côtoie le plafond On fait rentrer par les matons  violet  vert  jaune et marron  hein Let's go  c'est Marseille en direction de Paris-Centre Collaboration que je trouve très intéressante J'suis fidèle au poste quand il faut dealer dans le bloc Dealer de la jaune  sur le banc  dealer de la blanche Let's go  Marseille en direction de Paris-Centre Collaboration que je trouve très intéressante J'suis fidèle au poste quand il faut dealer dans le bloc Dealer de la jaune  sur le banc  dealer de la blanche Yeux vers le ciel  les pieds sur Terre On espère et sans rien faire Warano  ah  ah Paris-Centre1.3  tain-p'Embed"
577,1,4,FN,"regex,roberta,llama,bert",Gunshot,['GIMS'],"Gunshot Lyrics Ce genre de vie  Fuego Lando Fuego  Fuego  Fuego  Fuego Waraoui  Warano Ha  tu t'attendais à quoi ?J'suis rentré dans l'club  la lumière s'est allumée J'ai demandé la table la plus éloignée Elle est venue m'voir genre : ""On peut discuter""J'te rassure  je n'recherche pas tes qualités Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Et  là  j'suis sapé tout en jean  Richard Valentine J'la joue connaisseur avec une petite paire de Teen Mon ami sur le côté qui m'demande si y'a des filles J'lui réponds : ""T'as pas compris  tu marches avec le Waraoui""C'est trop facile  ne bouge plus  reste assis Quand j'envoie  c'est pour de vrai  ça s'entend dans toute la ville Des gens mal intentionnés et quelques meufs à l'affut Aujourd'hui  ma chambre d'hôtel deviens la maison Batiatus Chut  c'est pas d'la flûte Si t'insistes  monte dans la suite Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités You might also like Je la ramène voir un film pour qu'elle fasse pas de cinéma Elle dit qu'elle s'appelle **** et qu'elle habite en Seine-et-Marne Elle veut la jouer fine  elle me demande si je viens de Kin'Ma chérie  j'parle pas beaucoup  c'est bien pour ça qu'j'ai écrit un livre J'ai choisi cette fille  c'est l'fuego toute la nuit Tu n'me reverras plus  ma voiture roule très très vite J'm'arrête au feu  j'me décris en deux-deux J'ai la même couleur que la carte bleue Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Tout c'qui s'passe ici  ça reste ici Donne ton téléphone  on va tout effacer Tout c'qui s'passe ici  ça reste ici Donne ton téléphone  on va tout effacer J'ai dit : ""Tout c'qui s'passe ici  ça reste ici Donne ton téléphone  on va tout effacer Tout c'qui s'passe ici  ça reste ici Donne ton téléphone  on va tout effacer Je vais te gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités Gunshot  gunshot  gunshot  everyday Gunshot  gunshot  je vais te fatiguer Gunshot  gunshot  oui  je suis calibré J'te rassure  je n'recherche pas tes qualités4Embed"
605,0,4,FP,"regex,llama,qwen,bert",The Undefeated,['Iggy Pop'],The Undefeated Lyrics I was gently raised Fussed over in school Fed and housed and entertained Wanting to be cool Summers in the grass Winters warm and slow Until the one thing on my mind was to just Get up and go We're the undefeated We got what they want We're so bored and spoiled Life is just a bag of pot We're the undefeated TV in the shade Girls at all our parties We have really got it made There's a real mean world outside Where many lives are lost But struggle builds character And we are growing soft I don't want to sit and watch no TV show I want to roam and be challenged I want to grow and grow We're the undefeated We got what they want We're so fucking spoiled Life is just a bag of pot We're the undefeated TV in the shade Girls at all our parties We have really got it made What have we made?A giant jail A bunch of walls That's all that we've made Oh  my We're the undefeated We got what they want We're so bored and spoiled Life is just a bag of pot We're the undefeated We got what they want We're so bored and spoiled Life is just a bag of pot You might also like We're the undefeated Always undefeated We're the undefeated We're the undefeated Now Embed
635,1,4,FN,"roberta,llama,qwen,bert",Chapter Six,['Kendrick Lamar'],Translations Español Chapter Six Lyrics Ridin' with them boys and girls and we're high All we want to do is have a good time Young  wild  and reckless is how we live life Pray that we make it to twenty-one Oh  oh  we make it to twenty-one Ridin' with them boys and girls and we're high All we want to do is have a good time Young  wild  and reckless is how we live life Pray that we make it to twenty-one Oh  oh  we make it to twenty-one I'm glad we was able to talk about her vice and her evils There is an even more important topic I'd like to discuss The dysfunctional bastards of the Ronald Reagan era Young men that learned to do everything spiteful This is your generation Live fast and die young Who's willing to explain this story?Ridin' with them boys and girls and we're high All we want to do is have a good time Young  wild  and reckless is how we live life Pray that we make it to twenty-one Oh  oh  we make it to twenty-one Ridin' with them boys and girls and we're high All we want to do is have a good time Young  wild  and reckless is how we live life Pray that we make it to twenty-one You might also like28Embed
740,0,4,FP,"regex,roberta,llama,bert",Metropolis,['Logic'],"Metropolis Lyrics Sometimes I feel like I've drifted  I feel different I feel gifted I've been high so long  don't need to smoke to get lifted I've been under pressure looking for Nikki Whenever she is around  you know I come quickly Vivid memories of Chicago  south side where I go From Reggies to the House of Blues  progress is the motto Man the first show that I ever done sold out was in Chicago Yeah  yeah  living like I've been ready to die Maybe not  I don't know why my mind is changing Rearranging this dangerous melody  uh Yeah  and I know that ain't nobody finna ever be ahead of me All that competition right there is dead to me Yeah  uh  yeah  I've been turning the pages Feeling the vibe  shit is outrageous Boy  I've been feeling courageous This shit right here  I've been at it for ages Feels like I'm running through mazes Everybody has they phases Yeah  vibe with this  bad bitch in the whip and I ride to this And I'm feeling it uh  hope when I'm forty I'm still in it One of the few that be killing it  uh Yeah  young motherfucker that be giving what he living On the road to success so you know that I'm driven But they didn't wanna publish it But right now I'm on some other shit I'm in a different world  I'm with a different girl I'm with the same team  but it's a different scheme Remember back when I couldn't even pay the bills And I'll never forget how that feels back when I would You might also like Buy it  break it  roll it  light it  smoke it  inhale it  I'm gone Buy it  break it  roll it  light it  smoke it  inhale it  I'm gone Okay  doing what I gotta do  flying at this altitude I look out the window like Goddamn  that's what I really do Don't know why I fear the planes  sometimes I wish to sustain If I look back on it I would do it all over again Nikki  Nikki  where you been? I can't wait to breathe you in Been on this plane way too long  I can't wait to see you again Oh my God this turbulence has got me sippin' on this liquor Crazy  racist  white bitch looking at us Like  ""Who are these niggas?""First class  on they ass  all complain that's when I dash Just landed in Europe and this model bitch is tryna smash Now I'm riding on the train  all this shit inside my brain Just left a hotel in Belgium  damn them waffles was insane Smoking blunts in Amsterdam Oh my God  this is my jam""May-December"" by Mos Def In my headphones  that's the man I know  I know that I got it if I  do what I gotta do to get by And they wonder why I never get high And they wonder why I never get high I know  I know that I got it if I  do what I gotta do to get by And they wonder why I never get high And they wonder why I never get high Okay  fuck affiliation  I'm that dude that did it on his own These thoughts inside my mind be fuckin' with me when I'm all alone I really like this girl she bad as fuck  why must I run away?It feel like self assassination  I can't put this gun away God damn  what's the plan? Not complacent where I am Reminiscing when I hit the road back in that mini van Broke as fuck  not a dollar  whipping that Chevy Impala Praying that we make it out this city  Lord willin'  Insha'Allah Up to date the couple years  now my idols are my peers I was on the road to nowhere till I decided to veer Put my everything into this shit  you know  I know you know this Used to give a fuck what people thought  hoping that they would notice Stop giving a fuck cause music gotta be the only motive Mind racing on and off the track  I'm going locomotive I can't believe you don't like Tarantino Ugh  I don't like him because  like—when it's non like non-Tarantino-esque  I think it's a good movie—You mean like Inglourious Basterds?—I didn't see that What?!—I didn't  I don't know—Oh my God! Have you seen 'Pulp Fiction'?Yeah  but I don't really remember it What you talking about? Have you seen uh... this is funny cause we're on a train... have you seen—fuck! What's his name? The guy from the movie  in the place  on the thing?On the train? With the scenery?Uh  I'm tryna remember right now  dammit—'Source Code'!No—You haven't seen that?No—With the dude from 'Donnie Darko'?Who's that?—Oh my God Well  I still wanna know what your favorite Tarantino movie is...My favorite Tarantino movie—?I know  I know that I got it if I  do what I gotta do to get by And they wonder why I never get high And they wonder why I never get high I know  I know that I got it if I  do what I gotta do to get by And they wonder why I never get high And they wonder why I never get high I know  I know that I got it if I  do what I gotta do to get by And they wonder why I never get high And they wonder why I never get high The original members of the Rattpack include:C Dot Castro  Big Lenbo and Logic119Embed"
760,0,4,FP,"regex,llama,qwen,bert",Deep Pockets,['Drake'],Translations Español Русский Português Deep Pockets Lyrics For my nigga Hush Yeah  look Dressed in fatigues  I rep the East with my trustees Smokin' on crushed leaves They turn they back on everything we built  then they must bleed I've seen splatter hit the snow when the blood freeze Straps over territory they know we must keep Get home and white Air Forces get brushed clean Back when my mama would interrupt sleep To tell me hurry up 'cause the bus leaves Summertime heatwaves  I used to just cut sleeves My shorty really love me  man  she want me to cut keys I can't do that normal type of life  is it just me?Niggas steady try to ride the wave  but it's rough seas I'm losin' enough sleep dealin' with envy And the news that they sent for me got the block in a frenzy It's on Meech like it's trendy Runnin' round from Laurier to Mac Kenzie when the city's empty  yeah Early twenties  but I want fifties  hundreds  not pennies I need plenty Got me ready to flip the F out like Fendi Whatever's in me  it's takin' over I gotta bust it down  break it open Until somebody starts takin' notice  then we rollin'Yeah  then we rollin'  then we rollin'Deep pockets on a nigga  I can't find my phone in Now we rollin'Yeah  then we rollin'  then we rollin'Deep pockets on a nigga  I can't find my phone in Now we rollin'Look Back when Big Apple sold dreams  I stuck to my own thing Back when the house that I own now was my home screen Before I'd ever hit the road and feel like the home team Runnin' missions Pyramid schemes just like the Egyptians Back when hotlines were still flippin'Now I'm seein' money off of hotlines blingin' but it feels different Transitions  plans switchin'  ambition Mindin' my business  buildin' a business  et cetera Inspired by a few  but my mind really drives itself like Tesla I always had a little somethin' extra Back when Corey was our sole investor And the car could get from A to B  but won't impress ya Look  I ain't no baller Still need my accounts longer like the way my nephew's gettin' taller My soundtrack is the second Carter  dreamin' of acceptin' offers And easin' tensions Keepin' family out of East Detention And out of Pine Hill Funeral Center Spots we got no business enterin'Back when Jill Scott was the apple of my afrocentric eye I had to find a way to get someone's attention You might also like Then we rollin'  then we rollin'Deep pockets on a nigga  I can't find my phone in Now we rollin'Yeah  then we rollin'  then we rollin'Deep pockets on a nigga  I can't find my phone in Now we rollin'19Embed
785,1,4,FN,"regex,roberta,llama,bert",Chien de la casse,['GIMS'],"Chien de la casse Lyrics4-88  eh ouais  tu connais J'suis en bas d'chez moi  j'ai pas encore décollé Elle est bonne  j'en ai eu un torticolis Va leur dire que les loups sont partis fourrés Faut pas t'affoler  j'vais pas t'dévorer J't'aurais bien proposé une partie d'volley Rien dans la poitrine  donc rien à voler Jeune noir ne pense qu'à batifoler Si tu danses  tu auras du jaune  du violet Du jaune  du violet  si tu fermes les volets J'veux bien qu'on s'clashe à St-Honoré Et on verra laquelle des cartes s'arrête la première J'm'ennuie J'm'ennuie J'tourne en ville J'me ruine J'me ruine J'me ruine J'tourne en ville J'me ruine Fonce-dé  j'me rappelle du trois-quarts de ma nuit Apparemment  j'ai claqué 15K dans le vide Ça a plu à quelques filles donc  du coup  j'me suis dit Pourquoi pas en finir tous ensemble dans un lit ?Tous ensemble dans un lit  pousser le délire J'l'étrangle  j'lui demande : ""Tu fais quoi dans la vie ?""Moi  j'me balade  j'suis côté de Rivoli C'est du sale qui se passe sous les yeux d'Mona Lisa Chien de la casse  j'fais des ce-tru bizarres J'quitte pas la ville  pas besoin de visa Feux d'position dans le blizzard J'fais du sale  on oublie ça J'm'ennuie J'm'ennuie J'tourne en ville J'me ruine J'me ruine J'me ruine J'tourne en ville J'me ruine You might also like1Embed"
